課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
3-1,4,影響,yǐngxiǎng,N,influence,ảnh hưởng,อิทธิพล,လွှမ်းမိုးမှု,影響,영향,influencia,pengaruh,3
3-1,5,穩定,wěndìng,Vs,stable,ổn định,มั่นคง,တည်ငြိမ်သည်။,安定した,안정적인,estable,stabil,3
3-1,6,幸虧,xìngkuī ,Adv,fortunately,may mắn thay,โชคดี (chok di) / ยังดี (yang di),ကံကောင်းစွာ (kan kaung: swa) / ကံကောင်းချင်တော့ (kan kaung: chin taw),幸いにも (saiwai ni mo) / よかった (yokatta),다행히 (dahaenghi) / 운 좋게 (un johge),afortunadamente,untung,3
3-1,7,躲,duǒ,Vi,"to hide, to go into hiding","trốn, ẩn nấp","เพื่อซ่อน, เข้าไปซ่อนตัว",ပုန်းအောင်းရန်၊,隠れる、隠れる,"숨다, 숨어 들어가다","esconderse, esconderse","bersembunyi, bersembunyi",3
3-1,8,度,dù,M,degree,độ (đơn vị đo nhiệt độ),ระดับ,ဘွဲ့,程度,도,grado,derajat,3
3-1,9,溫度,wēndù,N,temperature,nhiệt độ,อุณหภูมิ,အပူချိန်,温度,온도,temperatura,suhu,3
3-1,10,零下,língxià,Vs-attr,below zero,dưới 0 độ,ต่ำกว่าศูนย์,သုညအောက်,零下,영하,bajo cero,di bawah nol,3
3-1,11,感覺,gǎnjué,Vst,to feel,cảm thấy,รู้สึก,ခံစားရန်,感じる,느끼다,sentir,merasakan,3
3-1,12,實際,shíjì,Vs,actual,thực tế,แท้จริง,အမှန်တကယ်,実際の,실제,"real, efectivo",sebenarnya,3
3-1,13,難怪,nánguài,Adv,"it's no wonder, no wonder","chẳng trách, thảo nào",มันไม่น่าแปลกใจเลย,အံ့သြစရာမဟုတ်ပါ၊ အံ့သြစရာမရှိပါ။,それは不思議ではない、不思議ではない,"당연하지, 당연하지","no es de extrañar, no es de extrañar","tidak mengherankan, tidak mengherankan",3
3-1,14,季節,jìjié,N,season,mùa,ฤดูกาล,ရာသီ,季節,계절,estación,musim,3
3-1,15,火鍋,huǒguō,N,hotpot,lẩu,หม้อไฟ,ဟော့ပေါ့,鍋,전골,estofado,makanan daging dan sayur,3
3-1,16,海鮮,hǎixiān,N,seafood,hải sản,อาหารทะเล,ပင်လယ်စာ,シーフード,해산물,mariscos,hidangan laut,3
3-1,17,新鮮,xīnxiān,Vs,fresh,tươi,สด,လတ်ဆတ်သော,新鮮な,신선한,fresco,segar,3
3-1,18,櫻花,yīnghuā ,N,cherry blossom,hoa anh đào,ดอกซากุระ,ချယ်ရီပန်း,桜,벚꽃,flor de cerezo,bunga sakura,3
3-1,19,變化,biànhuà,N,change,sự thay đổi,เปลี่ยน,ပြောင်းလဲမှု,変化,변화,cambiar,mengubah,3
3-1,20,氣溫,qìwēn ,N,temperature (weather),nhiệt độ (thời tiết),อุณหภูมิ (สภาพอากาศ),အပူချိန် (ရာသီဥတု),気温（天気）,기온 (날씨),temperatura (clima),suhu (cuaca),3
3-1,21,差,chā,Vst,to differ,khác biệt,ที่จะแตกต่าง,ကွဲပြားရန်,違う,다르다,diferir,berbeda,3
3-1,22,幾乎,jīhū,Adv,almost,gần như,เกือบ,နီးပါး,ほとんど,거의,casi,hampir,3
3-1,23,乾,gān,Vs,dry,khô,แห้ง,ခြောက်သွေ့,ドライ,마른,seco,kering,3
3-1,24,發霉,fāméi ,Vp-sep,to mildew,bị mốc,เพื่อโรคราน้ำค้าง,အနာ,カビが生える,곰팡이가 생기다,al moho,jamur,3
3-1,25,除濕機,chúshījī ,N,dehumidifier ,máy hút ẩm,เครื่องลดความชื้น,အစိုဓာတ်ထိန်းစက်,除湿機,제습기,deshumidificador,penurun kelembapan,3
3-1,26,雨季,yǔjì ,N,rainy season,mùa mưa,ฤดูฝน,မိုးရာသီ,雨季,우기,temporada de lluvias,musim hujan,3
3-1,27,涼快,liángkuài ,Vs,cool ,mát mẻ,เย็น,အေးတယ်။,いいね,시원한,Frío,Dingin,3
3-1,28,潮濕,cháoshī,Vs,humid,ẩm ướt,ชื้น,စိုစွတ်သော,湿気が多い,습한,húmedo,lembab,3
3-1,29,悶,mēn,Vs,stuffy,"ngột ngạt, bí",อับชื้น,အိုက်,息苦しい,답답한,cargado,pengap,3
3-1,30,冷氣,lěngqì ,N,air conditioning,"máy lạnh, điều hòa",เครื่องปรับอากาศ,လေအေးပေးစနစ်,空調,공기 조절,aire acondicionado,AC,3
3-1,31,荷蘭,Hélán ,,the Netherlands (lit. Holland),Hà Lan,เนเธอร์แลนด์ (อังกฤษ: Holland),နယ်သာလန် (စာသားအရ ဟော်လန်),オランダ (文字通り、オランダ),네덜란드 (말 그대로 네덜란드),"Países Bajos (literalmente, Holanda)","Belanda (secara harfiah, Belanda)",3
3-1,32,出大太陽,chū dà tàiyáng ,,to be blazing hot,trời nắng gắt,จะร้อนจัด,တောက်လောင်နေဖို့,灼熱になる,뜨겁게 타오르다,estar muy caliente,menjadi sangat panas,3
3-1,33,颳風,guā fēng ,,to be windy (lit. blow wind),trời có gió,มีลมแรง (หมายถึงลมพัด),လေထန်ခြင်း (စာသားအရ လေတိုက်ခြင်း)၊,風が強い（文字通り、風が吹く）,바람이 불다 (말 그대로 바람이 불다),"tener viento (literalmente, soplar viento)","menjadi berangin (secara harfiah, meniupkan angin)",3
3-1,34,受到,shòu dào ,,"to receive, to be, to get","nhận được, bị","ที่จะได้รับ, เป็น, ที่จะได้รับ",လက်ခံရရှိသည်၊ ခံရသည်,受け取る、なる、得る,"받다, 존재하다, 획득하다","recibir, ser, conseguir","menerima, menjadi, mendapatkan",3
3-1,35,受不了,shòu bù liǎo,,can't stand it,không chịu nổi,ทนไม่ไหวแล้ว,မနေနိုင်,我慢できない,참을 수 없어,no puedo soportarlo,tidak tahan,3
3-1,36,餓死了,è sǐle ,,to starve to death (an exaggeration),đói chết (cách nói phóng đại),อดตาย (เป็นการพูดเกินจริง),ငတ်သေခြင်း (ချဲ့ကားခြင်း)၊,餓死する（言い過ぎ）,굶어 죽다 (과장),morir de hambre (una exageración),mati kelaparan (berlebihan),3
3-1,37,後母臉,hòumǔ liǎn,,"stepmother's face, i.e., stern and cruel look","mặt mẹ kế (ám chỉ vẻ mặt nghiêm khắc, lạnh lùng)",ใบหน้าของแม่เลี้ยงคือท่าทางดุดันและโหดร้าย,မိထွေး၏မျက်နှာ၊ ဆိုလိုသည်မှာ တင်းမာပြီး ရက်စက်သောအကြည့်,継母の顔、つまり厳しく残酷な表情,"계모의 얼굴, 즉 엄하고 잔인한 표정","cara de madrastra, es decir, mirada severa y cruel","wajah ibu tiri, yaitu tatapan tegas dan kejam",3
3-2,1,祖先,zǔxiān ,N,ancestor,tổ tiên,บรรพบุรุษ,ဘိုးဘေး,祖先,선조,antepasado,leluhur,3
3-2,2,移民,yímín ,Vi,"to immigrate, to emigrate",di cư,"อพยพ, อพยพ",ရွှေ့ပြောင်းနေထိုင်ရန်၊ ရွှေ့ပြောင်းနေထိုင်ရန်,移住する、移住する,"이주하다, 이주하다","inmigrar, emigrar","berimigrasi, beremigrasi",3
3-2,3,當中,dāngzhōng ,N,"of, amongst","trong số, giữa","ของ, หมู่","၏, အကြား",の、中で,~ 중,"de, entre","dari, di antara",3
3-2,4,根據,gēnjù ,Prep,"based on, in accordance with, according to","dựa trên, theo","ขึ้นอยู่กับ, ตาม, ตาม",အလိုက်၊အညီ၊အလိုက်၊,に基づいて、に従って、に従って,"~에 기초하여, ~에 따라, ~에 따라","basado en, de acuerdo con, según","berdasarkan, sesuai dengan, menurut",3
3-2,5,農曆,nónglì ,N,the lunar calendar (lit. the agricultural calendar),lịch âm,ปฏิทินจันทรคติ (ตามตัวอักษรคือปฏิทินเกษตรกรรม),လပြက္ခဒိန် (စာသားအရ စိုက်ပျိုးရေးပြက္ခဒိန်),太陰暦（文字通り、農業暦）,"음력(문자 그대로, 농업 달력)","el calendario lunar (literalmente, el calendario agrícola)","kalender lunar (secara harfiah, kalender pertanian)",3
3-2,6,農業,nóngyè ,N,agriculture,nông nghiệp,เกษตรกรรม,စိုက်ပျိုးရေး,農業,농업,agricultura,pertanian,3
3-2,7,農人,nóngrén ,N,farmer,người nông dân,ชาวนา,လယ်သမား,農家,농장주,agricultor,petani,3
3-2,8,難得,nándé,Vs,"hard-to-come-by, rare",hiếm có,"หายาก, หายาก",ကြုံခဲ၊ ရှားပါတယ်။,入手困難、珍しい,"구하기 힘든, 희귀한","difícil de conseguir, raro","sulit didapat, jarang",3
3-2,9,祭祖,jìzǔ ,Vi,to venerate ancestors,cúng bái tổ tiên,เพื่อไว้อาลัยบรรพบุรุษ,ဘိုးဘေးများကို ကြည်ညိုရန်,先祖を敬う,조상을 공경하기 위해,venerar a los antepasados,menghormati leluhur,3
3-2,10,拜,bài ,V,"to honor, to pay homage to","bái, lạy","เพื่อเป็นเกียรติแก่, กราบไหว้",ရိုသေခြင်း၊ ရှိခိုးခြင်း။,名誉を与える、敬意を払う,"~에게 경의를 표하다, 경의를 표하다","honrar, rendir homenaje a","menghormati, memberi penghormatan",3
3-2,11,神,shén ,N,"gods, divinities",thần thánh,พระเจ้าเทพ,ဘုရား၊ နတ်ဘုရား,神々、神々,"신들, 신들","dioses, divinidades","dewa, dewa",3
3-2,12,拜拜,bàibài ,Vi,to present offerings to gods or ancestors,"cúng bái (thần linh, tổ tiên)",เพื่อถวายเครื่องบูชาแก่เทพเจ้าหรือบรรพบุรุษ,ဘိုးဘေးတို့အား ပူဇော်သက္ကာပြုခြင်း၊,神様やご先祖様にお供え物を捧げること,신이나 조상에게 제물을 바치다,presentar ofrendas a dioses o antepasados,mempersembahkan persembahan kepada dewa atau leluhur,3
3-2,13,蚊蟲,wénchóng ,N,mosquitoes and other insects,muỗi và côn trùng,ยุงและแมลงอื่นๆ,ခြင်နှင့် အခြားအင်းဆက်များ,蚊や他の昆虫,모기 및 기타 곤충,mosquitos y otros insectos,nyamuk dan serangga lainnya,3
3-2,14,戴,dài ,V,"to wear (items other than those that cover the torso, legs, or feet. mostly ornamental items.)","đeo, đeo (trang sức)",สวมใส่ (สิ่งของอื่นนอกจากที่ปกปิดลำตัว ขา หรือเท้า ส่วนใหญ่เป็นของประดับตกแต่ง),ဝတ်ဆင်ရန် (ခန္ဓာကိုယ်၊ ခြေသလုံး သို့မဟုတ် ခြေဖဝါးကို ဖုံးအုပ်ထားသည့် ပစ္စည်းများမှလွဲ၍ အခြားပစ္စည်းများ။ အများအားဖြင့် အလှဆင်ပစ္စည်းများ။),身につけるもの（胴体、脚、足を覆うもの以外のもの。主に装飾品）。,"입다 (몸통, 다리, 발을 덮는 것 이외의 것. 대부분 장식용 물품.)","usar (artículos que no sean los que cubren el torso, las piernas o los pies, en su mayoría artículos ornamentales)","dipakai (barang selain yang menutupi batang tubuh, tungkai, atau kaki. kebanyakan barang hias.)",3
3-2,15,香包,xiāngbāo ,N,fragrant sachet,túi thơm,ซองหอม,အမွှေးထုပ်,香りのよい小袋,향기로운 향낭,bolsita fragante,bungkusan harum,3
3-2,16,掛,guà,V,to hang,treo,ที่จะแขวน,ဆွဲထားရန်,吊るす,매달다,colgar,digantung,3
3-2,17,瘟疫,wēnyì,N,"pestilence, plague",dịch bệnh,"โรคระบาด, โรคระบาด",ကာလနာ၊ ပလိပ်ရောဂါ,疫病、ペスト,"역병, 역병","pestilencia, plaga","penyakit sampar, wabah penyakit",3
3-2,18,做法,zuòfǎ,N,"method, way of doing something ",cách làm,วิธีการวิธีการทำบางสิ่งบางอย่าง,နည်းလမ်း၊ တစ်ခုခုလုပ်နည်း,方法、何かを行う方法,"방법, 어떤 일을 하는 방식","método, manera de hacer algo","metode, cara melakukan sesuatu",3
3-2,19,多少,duōshǎo ,Adv,somewhat,"phần nào, một chút",ค่อนข้าง,ခပ်ဆင်ဆင်,幾分,약간,un poco,agak,3
3-2,20,作用,zuòyòng ,N,effect,tác dụng,ผล,အကျိုးသက်ရောက်မှု,効果,효과,efecto,memengaruhi,3
3-2,21,迷信,míxìn ,N,superstition,mê tín,ไสยศาสตร์,အယူသီးမှု,迷信,미신,superstición,takhyul,3
3-2,22,收成,shōuchéng,N,harvest,vụ thu hoạch,เก็บเกี่ยว,ရိတ်သိမ်း,収穫,수확하다,cosecha,memanen,3
